N,1. Field name,2. Reservoir unit,3. Country,4. Region,5. Basin name,6. Tectonic regime,7. Latitude,8. Longitude,9. Operator company,10. Onshore or offshore,11. Hydrocarbon type (main),12. Reservoir status (current),13. Structural setting,14. Depth (top reservoir ft TVD),15. Reservoir period,16. Lithology (main),17. Thickness (gross average ft),18. Thickness (net pay average ft),19. Porosity (matrix average %),20. Permeability (air average mD)
366,GRIFFIN,BIRDRONG,AUSTRALIA,FAR EAST,CARNARVON,INVERSION/COMPRESSION/EXTENSION,-21.2356,114.62,BHP BILLITON,OFFSHORE,OIL,DEVELOPING,RIFT,8100,CRETACEOUS,SANDSTONE,115.0,40.0,15.0,30.0
367,GRIFFIN,ZEEPAARD,AUSTRALIA,FAR EAST,CARNARVON,,-21.2356,114.62,BHP BILLITON,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,8200,CRETACEOUS,SANDSTONE,427.0,295.0,,1300.0
373,GUANGLI,SHAHEJIE (SHA-4),CHINA,FAR EAST,BOHAI,EXTENSION,37.4167,118.7499,SINOPEC,ONSHORE,OIL,MATURE PRODUCTION,RIFT,8077,PALEOGENE,SILTSTONE,300.0,41.0,24.0,681.0
374,GUDAO,GUANTAO,CHINA,FAR EAST,BOHAI,EXTENSION,37.8667,118.7499,SINOPEC,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,3686,NEOGENE,SANDSTONE,790.0,88.0,33.0,1500.0
375,GULLFAKS,BRENT,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,61.1797,2.2121,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,5040,JURASSIC,SANDSTONE,980.0,525.0,30.0,1000.0
377,GULLFAKS,STATFJORD,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,61.1797,2.2121,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,5520,TRIASSIC-JURASSIC,SANDSTONE,630.0,394.0,26.0,1000.0
380,HAFT KEL,ASMARI,IRAN,MIDDLE EAST,ZAGROS,,31.4333,49.55,NIOC,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,2801,PALEOGENE-NEOGENE,DOLOMITIC LIMESTONE,884.0,675.0,,1.0
382,HALIBUT-COBIA,LATROBE (M1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION/COMPRESSION/EXTENSION/EROSION,-38.3989,148.3164,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,7175,PALEOGENE,SANDSTONE,505.0,120.0,20.0,1600.0
383,HANDIL,BALIKPAPAN,INDONESIA,FAR EAST,KUTAI,INVERSION/COMPRESSION/EXTENSION/SHALE,-0.8425,117.2786,TOTAL,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/BACKARC,680,NEOGENE,SANDSTONE,12500.0,1300.0,18.0,200.0
386,HARMATTAN EAST,TURNER VALLEY (RUNDLE POOL),CANADA,NORTH AMERICA,WESTERN CANADA,,51.7569,-114.4351,SHELL,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,FORELAND,8250,CARBONIFEROUS,DOLOMITE,120.0,38.0,,20.0
387,HARMATTAN-ELKTON,TURNER VALLEY (RUNDLE C POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,51.6624,-114.429,BP AND OTHERS,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,FORELAND,8750,CARBONIFEROUS,DOLOMITE,140.0,70.0,12.0,125.0
389,HARTZOG DRAW,SHANNON,USA,NORTH AMERICA,POWDER RIVER,,43.9224,-105.9864,XTO ENERGY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,9000,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,70.0,20.0,,12.0
392,HATTERS POND,NORPHLET,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,30.8976,-88.066,CHEVRON,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SALT/PASSIVE MARGIN,18050,JURASSIC,SANDSTONE,350.0,200.0,10.4,0.5
395,HAWK POINT,UPPER MINNELUSA (B SAND),USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.0263,-105.5474,NIELSON and ASSOCIATES INC,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,11290,PERMIAN,SANDSTONE,140.0,30.0,13.0,30.0
396,HAWKINS,WOODBINE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,32.6351,-95.2209,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,3770,CRETACEOUS,SANDSTONE,525.0,300.0,27.0,3400.0
398,HEATHER,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.95,0.8833,DNO,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,8981,JURASSIC,SANDSTONE,210.0,113.0,10.0,20.0
399,HEERA,BASSEIN (ZONE B),INDIA,FAR EAST,BOMBAY OFFSHORE,EXTENSION,18.172,72.313,ONGC,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,4542,PALEOGENE,LIMESTONE,230.0,82.0,12.0,0.8
401,HEIDRUN,FANGST,NORWAY,EUROPE,MID-NORWAY SHELF,EXTENSION/EROSION,65.3378,7.3096,STATOILHYDRO,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,5692,JURASSIC,SANDSTONE,230.0,207.0,28.0,1450.0
406,HENRY,DAKOTA SANDSTONE,USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION/EROSION,41.1334,-110.1768,CABOT OIL and GAS,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,13665,CRETACEOUS,SANDSTONE,350.0,19.0,14.0,43.4
407,HIBERNIA,AVALON,CANADA,NORTH AMERICA,JEANNE D ARC,EXTENSION/EVAPORITE/EROSION/GRAVITY,46.7495,-48.7822,HIBERNIA MANAGEMENT DEVELOPMENT CO,OFFSHORE,OIL,DEVELOPING,RIFT/SALT,6627,CRETACEOUS,SANDSTONE,1180.0,115.0,20.0,220.0
408,HIBERNIA,HIBERNIA,CANADA,NORTH AMERICA,JEANNE D ARC,EXTENSION/EVAPORITE/EROSION/GRAVITY,46.7495,-48.7822,HIBERNIA MANAGEMENT DEVELOPMENT CO,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT/SALT,10890,CRETACEOUS,SANDSTONE,650.0,128.0,16.0,700.0
409,HIDES,IMBURU-TORO,PAPUA NEW GUINEA,FAR EAST,PAPUAN FTB,COMPRESSION,-6.0136,142.8409,OIL SEARCH LTD,ONSHORE,GAS-CONDENSATE,CONTINUING DEVELOPMENT,THRUST,9905,JURASSIC-CRETACEOUS,SANDSTONE,490.0,240.0,10.0,100.0
411,HOADLEY,GLAUCONITE,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,52.8481,-114.18700000000001,NUMEROUS,ONSHORE,GAS-CONDENSATE,CONTINUING DEVELOPMENT,FORELAND,4900,CRETACEOUS,SANDSTONE,80.0,35.0,11.0,5.0
416,HOUSE CREEK,SUSSEX,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,43.7456,-105.5703,DEVON ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,7863,CRETACEOUS,SANDSTONE,40.0,15.0,13.0,20.0
417,HUANXILING,SHAHEJIE,CHINA,FAR EAST,BOHAI,EXTENSION,41.0249,121.7667,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,2310,PALEOGENE,SANDSTONE,525.0,127.0,25.0,1400.0
418,HUGOTON-PANHANDLE,CHASE (HUGOTON),USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,37.0386,-101.0039,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,1700,PERMIAN,DOLOMITE,240.0,45.0,14.0,5.0
420,HUNTINGTON BEACH,BOLSA ZONE,USA,NORTH AMERICA,LOS ANGELES,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,33.6998,-118.0335,NUMEROUS,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,WRENCH,1726,NEOGENE,THINLY-BEDDED SANDSTONE,660.0,152.0,34.0,2300.0
421,HUNTINGTON BEACH,JONES ZONE,USA,NORTH AMERICA,LOS ANGELES,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,33.6998,-118.0335,NUMEROUS,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,WRENCH,2326,NEOGENE,THINLY-BEDDED SANDSTONE,700.0,375.0,28.0,400.0
423,HUTTON NORTHWEST,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,61.1,1.3167,BP,OFFSHORE,OIL,ABANDONED,RIFT,10525,JURASSIC,SANDSTONE,410.0,180.0,18.0,100.0
424,IAGIFU-HEDINIA,TORO,PAPUA NEW GUINEA,FAR EAST,PAPUAN FTB,COMPRESSION,-6.4347,143.2116,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,5084,CRETACEOUS,SANDSTONE,328.0,300.0,13.0,600.0
426,IDD EL SHARGI NORTH DOME,SHUAIBA,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY/EVAPORITE/COMPRESSION,25.5,52.4,OCCIDENTAL,OFFSHORE,OIL,MATURE PRODUCTION,SALT/FORELAND,4381,CRETACEOUS,CHALKY LIMESTONE,328.0,256.0,25.0,3.0
427,INDEFATIGABLE,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,53.3932,2.5239,SHELL /PERENCO,OFFSHORE,GAS,NEARLY DEPLETED,SUB-SALT/INVERSION,7400,PERMIAN,SANDSTONE,200.0,197.0,15.0,30.0
438,JAMESON,COOK,USA,NORTH AMERICA,PERMIAN,,32.08,-100.6289,SUN OIL COMPANY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5700,PERMIAN,THINLY-BEDDED SANDSTONE,150.0,35.0,,35.0
442,JAY,SMACKOVER,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,30.9557,-87.1783,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,SUB-SALT/PASSIVE MARGIN,15295,JURASSIC,DOLOMITE,350.0,100.0,14.0,35.0
444,JINGBIAN,MAJIAGOU-5,CHINA,FAR EAST,ORDOS,COMPRESSION/EROSION,37.6667,108.8333,PETROCHINA,ONSHORE,GAS,DEVELOPING,FORELAND,9800,ORDOVICIAN,DOLOMITE,150.0,47.0,5.6,3.0
445,JOFFRE,VIKING,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,52.283,-113.5543,VIKOR RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4921,CRETACEOUS,SANDSTONE,115.0,10.0,13.2,190.0
446,JOLLIET,GG-KS SANDS,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,,27.7672,-91.516,CONOCOPHILLIPS,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-THRUST/DELTA/SALT,4240,NEOGENE,SANDSTONE,3700.0,277.0,,288.0
447,JONAH,LANCE,USA,NORTH AMERICA,GREATER GREEN RIVER,,42.4113,-109.6876,ENCANA AND OTHERS,ONSHORE,GAS,PLATEAU PRODUCTION,FORELAND,7600,CRETACEOUS,SANDSTONE,3500.0,420.0,,0.1
450,JUDY CREEK,SWAN HILLS (JUDY CREEK A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,54.4995,-115.4904,IMPERIAL OIL RESOURCES,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,8540,DEVONIAN,LIMESTONE,230.0,60.0,9.0,45.0
451,JULY,LOWER RUDEIS,EGYPT,AFRICA,GULF OF SUEZ,,28.2499,33.2499,GUPCO,OFFSHORE,OIL,MATURE PRODUCTION,SUB-SALT/RIFT,7815,NEOGENE,SANDSTONE,900.0,518.0,,160.0
452,JULY,NUBIA C,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION,28.2499,33.2499,GUPCO,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,9350,CAMBRIAN-ORDOVICIAN/CARBONIFEROUS,SANDSTONE,1500.0,679.0,20.0,50.0
453,JUMPING POUND,TURNER VALLEY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.1425,-114.5786,SHELL,ONSHORE,GAS,NEARLY DEPLETED,SUB-THRUST/FORELAND,8100,CARBONIFEROUS,DOLOMITE,250.0,140.0,8.3,4.0
454,JUMPING POUND WEST,TURNER VALLEY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/SHALE,51.1952,-114.8046,SHELL /ENCANA,ONSHORE,GAS,DECLINING PRODUCTION,SUB-THRUST/FORELAND,9870,CARBONIFEROUS,DOLOMITE,800.0,118.0,6.3,3.15
455,KADI NORTH,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION/COMPRESSION/EXTENSION,23.43,72.28,ONGC,ONSHORE,OIL,REJUVENATING,RIFT/INVERSION,3136,PALEOGENE,SANDSTONE,492.0,21.0,30.0,4000.0
460,KARACHAGANAK,UNNAMED,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,COMPRESSION/EVAPORITE,51.3158,53.26,KARACHAGANAK INTEGRATED ORAGANIZATION,ONSHORE,GAS-CONDENSATE,REJUVENATING,SUB-SALT/FORELAND,11870,DEVONIAN-PERMIAN,LIMESTONE,6600.0,2600.0,10.0,8.0
462,KARAZHANBAS,UNITS A-E,KAZAKHSTAN,FORMER SOVIET UNION,USTYURT NORTH,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,45.1,51.5833,NATIONS ENERGY /KARAZHANBASMUNAI,ONSHORE,OIL,REJUVENATING,WRENCH/THRUST,758,CRETACEOUS,SANDSTONE,135.0,59.0,28.0,240.0
463,KASIM,KAIS,INDONESIA,FAR EAST,SALAWATI,COMPRESSION/STRIKE-SLIP/BASEMENT-I,-1.3253,131.0392,PETROCHINA INTERNATIONAL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND/WRENCH,3044,NEOGENE,LIMESTONE,561.0,123.0,21.0,38.0
464,KATNOOK,PRETTY HILL (SANDSTONE),AUSTRALIA,FAR EAST,OTWAY,INVERSION/COMPRESSION/EXTENSION,-37.4556,140.7789,BORAL ENERGY RESOURCES LTD,ONSHORE,GAS,PLATEAU PRODUCTION,RIFT,9286,CRETACEOUS,SANDSTONE,221.0,62.0,14.5,8.6
465,KATY,YEGUA,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,29.8443,-95.8638,EXXONMOBIL AND OTHERS,ONSHORE,GAS-CONDENSATE,NEARLY DEPLETED,DELTA/SALT/PASSIVE MARGIN,6270,PALEOGENE,SANDSTONE,1350.0,335.0,28.0,275.0
466,KAYBOB,SWAN HILLS,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,54.5507,-116.78200000000001,CHEVRON,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,9530,DEVONIAN,LIMESTONE,257.0,56.0,7.4,24.0
468,KELA-2,BASHJICHK,CHINA,FAR EAST,TARIM,,42.1255,82.5255,PETROCHINA,ONSHORE,GAS,UNDEVELOPED,SUB-SALT/SUB-THRUST,11420,CRETACEOUS,SANDSTONE,950.0,660.0,,515.0
469,KELAMAYI,KELAMAYI,CHINA,FAR EAST,JUNGGAR (ZHUNGEER),COMPRESSION/EROSION,45.5417,84.8917,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,6100,TRIASSIC,CONGLOMERATE,750.0,43.0,18.0,279.0
471,KEMNITZ,HUECO,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.8909,-103.6007,TENNECO,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,10500,PERMIAN,LIMESTONE,120.0,60.0,9.0,9.0
476,KF,LOWER GABUS,INDONESIA,FAR EAST,NATUNA WEST,INVERSION/COMPRESSION/EXTENSION,4.9,106.0,STAR ENERGY,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,2350,PALEOGENE,SANDSTONE,1500.0,31.0,21.0,85.0
477,KG,GABUS-KERAS-BARAT-PASIR-ARANG,INDONESIA,FAR EAST,NATUNA WEST,INVERSION/COMPRESSION/EXTENSION,4.9977,106.0342,STAR ENERGY,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,2600,PALEOGENE-NEOGENE,SANDSTONE,5800.0,188.0,23.0,180.0
478,KHAFJI,BURGAN,NEUTRAL ZONE,MIDDLE EAST,THE GULF,COMPRESSION/EVAPORITE/EXTENSION/LINKED,28.5333,48.9167,ARABIAN OIL CO,OFFSHORE,OIL,REJUVENATING,FORELAND/SALT,4725,CRETACEOUS,SANDSTONE,650.0,329.0,28.0,4500.0
479,KHAFJI,RATAWI LIMESTONE,NEUTRAL ZONE,MIDDLE EAST,THE GULF,INVERSION/COMPRESSION/EVAPORITE/EROSION,28.5333,48.9167,ARABIAN OIL CO,OFFSHORE,OIL,UNKNOWN,FORELAND/SALT,6825,CRETACEOUS,LIMESTONE,550.0,173.0,22.0,17.0
480,KHALDA,LOWER BAHARIYA,EGYPT,AFRICA,MATRUH-SHUSHAN,EXTENSION,30.8196,26.7429,KHALDA PETROLEUM,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN/RIFT,5850,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,100.0,35.0,20.5,70.0
483,KINABALU,STAGES IVD-IVF (KINABALU MAIN),MALAYSIA,FAR EAST,SABAH,GRAVITY/SHALE/EXTENSION/SYNSEDIMENTATION,5.4296,114.6992,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA//FORELAND,5070,NEOGENE,SANDSTONE,5350.0,1466.0,22.0,280.0
487,KITTY,MUDDY,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.3344,-105.6783,DEVON ENERGY AND OTHERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,8650,CRETACEOUS,SHALY SANDSTONE,80.0,12.0,10.0,15.0
490,KOROBKOV,BOBRIKOV B2,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION/EVAPORITE,50.3333,44.6375,NIZHNEVOLZHSKNEFT,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5800,CARBONIFEROUS,SANDSTONE,66.0,33.0,20.0,460.0
491,KOROBKOV,MAIN CARBONATE COMPLEX,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION/EVAPORITE,50.3333,44.6375,NIZHNEVOLZHSKNEFT,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,4400,CARBONIFEROUS,LIMESTONE,390.0,110.0,5.4,200.0
492,KOROLEV,NUMEROUS,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,COMPRESSION/EVAPORITE,46.2175,53.5381,TENGIZCHEVROIL,ONSHORE,OIL,DEVELOPING,SUB-SALT/FORELAND,12746,CARBONIFEROUS-PERMIAN,LIMESTONE,3500.0,1500.0,6.0,6.0
493,KOROLEV,UNNAMED,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,,46.2175,53.5381,TENGIZCHEVROIL,ONSHORE,OIL,UNDEVELOPED,SALT/FORELAND,1716,CRETACEOUS,SANDSTONE,72.0,26.0,,48.0
494,KOTABATAK,BEKASAP (A SAND),INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,0.687,101.1053,CALTEX PACIFIC,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/BACKARC,4150,NEOGENE,SANDSTONE,350.0,200.0,17.0,393.0
495,KOVYKTA,PARFENOV,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,COMPRESSION/EVAPORITE,55.4167,106.0,RUSIA PETROLEUM,ONSHORE,GAS,UNDEVELOPED,INTRACRATONIC,4000,PROTEROZOIC,SANDSTONE,200.0,49.0,16.0,5.0
499,KULESHOV,A3,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION/EVAPORITE,52.8381,51.2136,KUYBYSHEVNEFT,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5266,CARBONIFEROUS,SANDSTONE,70.0,46.0,20.0,177.0
500,KULESHOV,A4,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION/EVAPORITE,52.8381,51.2136,KUYBYSHEVNEFT,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5381,CARBONIFEROUS,LIMESTONE,330.0,75.0,18.0,195.0
502,KUPARUK RIVER,KUPARUK RIVER (UNIT C),USA,NORTH AMERICA,NORTH SLOPE,COMPRESSION/EXTENSION/EROSION,70.34,-149.5375,CONOCOPHILLIPS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5620,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,35.0,20.0,24.0,138.0
504,KURTEN,WOODBINE-EAGLEFORD,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,30.785999999999998,-96.4318,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,7940,CRETACEOUS,SANDSTONE,300.0,24.0,9.3,0.55
511,LAGOA PARDA,LAGOA PARDA (URUCUTUCA),BRAZIL,LATIN AMERICA,ESPIRITO SANTO,EXTENSION,-19.6017,-39.8332,PETROBRAS,ONSHORE,OIL,NEARLY DEPLETED,PASSIVE MARGIN,4843,PALEOGENE,SANDSTONE,2133.0,72.0,23.0,350.0
514,LAKE CREEK,WILCOX (G SAND),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/SHALE/SYNSEDIMENTATION,30.2546,-95.5906,EXXONMOBIL,ONSHORE,GAS,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,11487,PALEOGENE,SANDSTONE,290.0,70.0,11.0,0.44
516,LAMA,COGOLLO,VENEZUELA,LATIN AMERICA,MARACAIBO,,10.0131,-71.5985,PDVSA,OFFSHORE,OIL,DECLINING PRODUCTION,WRENCH/FORELAND,12400,CRETACEOUS,LIMESTONE,1200.0,200.0,,0.1
518,LAMA,SANTA BARBARA,VENEZUELA,LATIN AMERICA,MARACAIBO,STRIKE-SLIP/BASEMENT-I,10.0131,-71.5985,PDVSA,OFFSHORE,OIL,DECLINING PRODUCTION,WRENCH/FORELAND,7000,NEOGENE,SANDSTONE,60.0,33.0,25.0,400.0
520,LANWA,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION/COMPRESSION/EXTENSION,23.568,72.137,ONGC,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,2873,PALEOGENE,SANDSTONE,148.0,33.0,30.0,5000.0
521,LAOJUNMIAO,BAIYANGHE (GANYOUQUAN K SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION/EROSION/EXTENSION/LINKED,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,THRUST,335,PALEOGENE,SANDSTONE,210.0,43.0,21.0,237.0
522,LAOJUNMIAO,BAIYANGHE (JIANQUANZI L SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION/EROSION/EXTENSION/LINKED,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,THRUST,1362,PALEOGENE,SANDSTONE,180.0,39.0,23.0,619.0
523,LAOJUNMIAO,BAIYANGHE (JIANQUANZI M SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION/EROSION/EXTENSION/LINKED,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,THRUST,1532,PALEOGENE,SANDSTONE,210.0,82.0,17.8,24.0
535,LISBON,LEADVILLE (REDWALL),USA,NORTH AMERICA,PARADOX,GRAVITY/EVAPORITE/COMPRESSION/EXTENSION,38.1983,-109.2767,PURE OIL COMPANY /CHEVRON,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC/SUB-SALT,7290,CARBONIFEROUS,DOLOMITE,430.0,225.0,5.5,22.0
536,LISBURNE,WAHOO (LISBURNE),USA,NORTH AMERICA,NORTH SLOPE,,70.2425,-148.3955,BP,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,8400,CARBONIFEROUS,LIMESTONE,700.0,100.0,,1.0
537,LITTLE BOW,GLAUCONITE (G-U-W POOLS),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,50.1951,-112.6507,MASTERS ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3740,CRETACEOUS,SANDSTONE,66.0,20.0,22.0,800.0
538,LITTLE CREEK,LOWER TUSCALOOSA,USA,NORTH AMERICA,MISSISSIPPI SALT,,31.3576,-90.3754,DENBURY RESOURCES,ONSHORE,OIL,REJUVENATING,PASSIVE MARGIN,10420,CRETACEOUS,SANDSTONE,40.0,30.0,,100.0
539,LITTLE KNIFE,MISSION CANYON (MADISON),USA,NORTH AMERICA,WILLISTON,COMPRESSION,47.2895,-103.0985,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,9673,CARBONIFEROUS,DOLOMITE,465.0,24.0,14.0,30.0
540,LITTLE SAND DRAW,PHOSPHORIA (ERVAY),USA,NORTH AMERICA,BIG HORN,COMPRESSION/EXTENSION/LINKED,43.8,-108.3,CITATION OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5880,PERMIAN,DOLOMITE,100.0,65.0,15.0,2.6
541,LIUBEI,WUMISHAN,CHINA,FAR EAST,BOHAI,EXTENSION,38.2892,116.0,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,RIFT,10531,PROTEROZOIC,DOLOMITE,781.0,381.0,3.2,5.45
542,LIUHUA 11-1,ZHUJIANG,CHINA,FAR EAST,PEARL RIVER MOUTH,EXTENSION,20.8219,115.6985,BP /CNOOC,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,2825,NEOGENE,LIMESTONE,1562.0,131.0,25.0,651.0
543,LLOYDMINSTER AREA,SPARKY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,53.2642,-110.0276,HUSKY ENERGY,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1900,CRETACEOUS,SANDSTONE,58.0,33.0,30.0,2000.0
544,LLOYDMINSTER AREA,WASECA,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,53.2642,-110.0276,HUSKY ENERGY,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1900,CRETACEOUS,SANDSTONE,90.0,50.0,34.0,2000.0
545,LOBSTER,BULMINELLA 1 SAND,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,28.101,-90.2021,MARATHON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,8075,NEOGENE,SANDSTONE,460.0,150.0,24.0,900.0
